"Título","Tipo de activo","Suministró los datos","Categoría","Descripción","Etapa de publicación","Municipio","Nombre entidad","Orden","Departamento","Frequencia actualización","Fecha de creación","Fecha de publicación","Fecha última actualización","CALIFICACIÓN FINAL CALIDAD","NIVEL SELLO EXCELENCIA"
"base de datos compraventa vehiculos usados","dataset",,"Comercio, Industria y Turismo","base de datos de empresar con la actividad G-4512","published","Sevilla","Cámara de Comercio de Sevilla","Nacional","Valle del Cauca","No aplica","2021 Jul 15 05:37:00 PM","2021 Jul 15 05:41:00 PM","2021 Jul 15 05:41:00 PM","7.72","0"
"Listado de Pagos Junio y Julio del programa Más Familias en Acción Año 2018","dataset",,"Inclusión Social y Reconciliación","Listado de Pagos de los Meses de  Junio y Julio año 2018 del programa Más Familias en Acción.","published","Nariño","Alcaldía de Nariño","Territorial","Nariño","No aplica","2018 Sep 27 07:57:00 PM","2018 Sep 27 08:09:00 PM","2018 Sep 27 08:09:00 PM","6.76","0"
"Registros de Caracol Africano en Risaralda","dataset","CARDER","Ambiente y Desarrollo Sostenible","Tabla con los registros de denuncias y recolección de caracol africano en el departamento de Risaralda, realizadas por la autoridad ambiental.","published","Pereira","Corporación Autónoma Regional de Risaralda","Nacional","Risaralda","No aplica","2021 Jun 23 01:43:00 PM","2021 Jun 23 01:52:00 PM","2021 Jun 23 01:52:00 PM","8.27","0"
"Prestadores de Salud de Sabanalarga","dataset","Alcaldía Municipal de Sabanalarga en Atlántico","Salud y Protección Social","Reporte de las Prestadoras de Salud del municipio de Sabanalarga - Atlantico","published","Sabanalarga","Alcaldía de Sabanalarga","Territorial","Atlántico","Anual","2016 Aug 29 02:45:00 PM","2016 Aug 29 02:45:00 PM","2017 Jul 26 04:32:00 PM","6.85","0"
"Planta de contratistas Alcaldía de Pasto a 31 de marzo 2019","dataset","Alcaldía Municipal de Pasto","Función pública","Contratistas de la Alcaldía municipal de Pasto","published","Pasto","Alcaldía de Pasto","Territorial","Nariño","Anual","2019 Jul 05 03:51:00 PM","2019 Jul 05 03:57:00 PM","2019 Jul 05 03:57:00 PM","7.87","0"
"Sapiencia- Índice clasificación reservada v2","dataset","Sapiencia","Educación",,"published","Medellín","Alcaldía de Medellín","Territorial","Antioquia","Semestral","2020 Nov 30 04:38:00 PM","2020 Nov 30 04:40:00 PM","2020 Nov 30 04:40:00 PM","7.13","0"
"Esquema de Publicación de Información","dataset","Notaría Setenta y Nueve de Bogotá D.C.","Función pública","Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma.(Decreto 103 de 2015, art. 41)","published","Bogotá D.C.","Notaría 79 de Bogotá","Territorial","Bogotá D.C.","No aplica","2024 Aug 21 03:48:00 PM","2024 Aug 21 03:50:00 PM","2024 Aug 21 03:50:00 PM","7.74","0"
"Índice de Información clasificada y reservada","dataset","Notaría Única de Chita","Función pública","Índice de Información clasificada y reservada","published","Chita","Notaría Única de Chita","Territorial","Boyacá","Anual","2024 Oct 08 02:58:00 PM","2024 Oct 08 03:00:00 PM","2024 Oct 08 03:00:00 PM","8.98","0"
"Registro de Activos de Información","dataset","Notaria Unica de Cucutilla","Función pública","Corresponde al inventario de la información pública que la notaría como sujeto obligado genere, obtenga, adquiera, transforme o controle en su calidad de tal, de acuerdo con lo dispuesto en la Ley 1712 de 2014, Decreto 103 de 2015, art. 37 y demás normas concordantes.","published","Cucutilla","Alcaldía de Cucutilla","Territorial","Norte de Santander","No aplica","2024 Aug 30 08:32:00 AM","2024 Aug 30 08:41:00 PM","2024 Aug 30 08:41:00 PM","8.11","0"
"Esquema de Publicación de Información-EPI (Datos Nativos)","dataset",,"Función pública",,"published","Bogotá D.C.","Banco de la República","Nacional","Bogotá D.C.","Anual","2021 Sep 21 07:21:00 PM","2021 Sep 21 07:30:00 PM","2021 Dec 20 03:06:00 PM","2.25","0"
"BASE DE DATOS EMPRESAS DE COMPRA Y VENTA DE VEHICULOS USADOS","dataset","CAMARA DE COMERCIO DE DOSQUEBRADAS","Comercio, Industria y Turismo","la base de datos contiene las empresas que compran y venden vehículos usados","published","Dosquebradas","Cámara de Comercio de Dosquebradas","Nacional","Risaralda","Anual","2021 Jul 22 08:36:00 PM","2021 Jul 22 08:40:00 PM","2021 Jul 22 08:40:00 PM","7.66","0"
"Plan indicativo municipio de Belén de Umbría","dataset","Alcaldía de Belén de Umbría","Economía y Finanzas","Plan indicativo municipio de Belén de Umbría","published","Belén de Umbría","Alcaldía de Belén de Umbría","Territorial","Risaralda","No aplica","2021 Jul 12 03:09:00 PM","2021 Jul 12 03:17:00 PM","2021 Jul 12 03:17:00 PM","7.59","0"
"DIRECTORIO CORREOS INSTITUCIONALES ALCALDIA MUNICIPAL DE CUCUNUBÁ","dataset","Alcaldia de Cucunubá","Ordenamiento Territorial","Listado correos electrónicos y dependencia responsable alcaldía Municipal de Cucunubá","published","Cucunubá","Alcaldía de Cucunubá","Territorial","Cundinamarca","Anual","2023 May 18 05:26:00 PM","2023 May 18 05:34:00 PM","2023 May 18 05:34:00 PM","7.9","0"
"CONTRATACION 2018","dataset",,"Función pública","EJECUCION CONTRATOS VIGENCIA 2018","published","Dabeiba","Empresas Públicas de Dabeiba","Territorial","Antioquia","Anual","2019 Sep 24 03:15:00 PM","2019 Sep 24 03:43:00 PM","2019 Sep 24 03:43:00 PM","6.47","0"
"Registro de Publicaciones de la Personería Municipal de Floridablanca","dataset","PERSONERÍA MUNICIPAL DE FLORIDABLANCA","Organismos de Control","Registro de Publicaciones de la Personería Municipal de Floridablanca","published","Floridablanca","Contraloría Municipal Floridablanca","Territorial","Santander","Anual","2019 Jul 30 08:24:00 PM","2019 Jul 30 08:29:00 PM","2024 Nov 27 04:08:00 AM","9.02","0"
"ADULTOS MAYORES EN ESPERA DE ENTRAR AL PROGRAMA DE SUBSIDIO ECONÓMICO OTORGADO POR COLOMBIA MAYOR EN EL MUNICIPIO DE SINCELEJO","dataset","Secretaria de Desarrollo Social","Inclusión Social y Reconciliación","Adultos mayores que se encuentran en espera de entrar al programa de subsidio económico  otorgado por Colombia mayor en el municipio de Sincelejo.","published","Sincelejo","Alcaldía de Sincelejo","Territorial","Sucre","Semestral","2021 Feb 16 01:48:00 PM","2021 Feb 16 04:15:00 PM","2021 Feb 16 04:15:00 PM","8.34","0"
"Índice de Información Clasificada y Reservada","dataset","Notaría Segunda de Ocaña - Norte de Santander","Función pública","Corresponde al inventario de la información pública generada, obtenida, adquirida o controlada por la notaría en calidad de sujeto obligado, que ha sido calificada como clasificada o reservada, de acuerdo con lo dispuesto en la Ley 1712 de 2014, el Decreto 103 de 2015, art. 39 y demás normas concordantes.","published","Ocaña","Notaría 2 de Ocaña","Territorial","Norte de Santander","No aplica","2024 Aug 13 04:57:00 PM","2024 Aug 13 04:58:00 PM","2024 Aug 13 04:58:00 PM","8.01","0"
"Índice de información clasificada y reservada semestre 2 2023","dataset","Sociedad de Activos Especiales SAE S.A.S","Hacienda y Crédito Público","Índice de información clasificada y reservada semestre 2 2023","published","Bogotá D.C.","Sociedad de Activos Especiales S.A.S.","Nacional","Bogotá D.C.","Semestral","2024 Jan 30 03:06:00 PM","2024 Jan 31 04:59:00 PM","2024 Jan 31 04:58:00 PM","9.09","1"
"Registro de activos de información","dataset","Notaría Única de Chimichagua","Función pública","Registro de activos de información","published","Chimichagua","Notaría Única de Chimichagua","Territorial","Cesar","Anual","2024 Oct 08 04:15:00 PM","2024 Aug 14 08:24:00 PM","2024 Aug 14 08:24:00 PM","8.06","0"
"Investigadores Reconocidos, Convocatoria Medición 2017","dataset","Ministerio de Ciencia y Tecnología e Innovación","Ciencia, Tecnología e Innovación","Investigadores registrados en la Plataforma ScienTI - Colombia reconocidos de acuerdo con la Convocatoria 781 de 2017","published","Bogotá D.C.","Ministerio de Ciencia, Tecnología e Innovación","Nacional","Bogotá D.C.","Anual","2018 Sep 05 08:55:00 PM","2020 Dec 28 05:32:00 PM","2020 Dec 28 06:04:00 PM","8.27","0"
"Registro Activos de Información DIAN","dataset","Dirección de Impuestos y Aduanas Nacionales DIAN","Hacienda y Crédito Público","Registro de Activos de Información de la DIAN 2024","published","Bogotá D.C.","Unidad Administrativa Especial Dirección de Impuestos y Aduanas Nacionales","Nacional","Bogotá D.C.","Semestral","2024 Sep 18 10:00:00 PM","2024 Sep 18 10:11:00 PM","2024 Sep 18 10:11:00 PM","8.11","0"
"Índice de información clasificada y reservada","dataset","Secretaría de Servicios Administrativos",,"Inventario de la información pública generada, obtenida, adquirida o controlada por el sujeto obligado, en calidad de tal, que ha sido calificada como clasificada o reservada.","published","Manizales","Alcaldía de Manizales","Territorial","Caldas","Anual","2020 Oct 14 02:18:00 PM","2020 Oct 14 02:22:00 PM","2020 Oct 14 02:22:00 PM","7.41","0"
"Normatividad Vigente Para Transmisión Leyes","dataset","Ministerio de Minas y Energía","Minas y Energía","Se describe el marco legal de la actividad de servicios públicos domiciliarios y las leyes aplicables al sector de energía eléctrica","published","Bogotá D.C.","Ministerio de Minas y Energía","Nacional","Bogotá D.C.","Anual","2016 Nov 10 04:47:00 PM","2016 Nov 10 04:52:00 PM","2016 Nov 10 04:47:00 PM","8.53","0"
"Registro de activos de información","dataset",,"Transporte","Registro de activos de información","published","Medellín","Empresa Metro de Medellín Ltda.","Territorial","Antioquia","No aplica","2024 Jun 13 09:12:00 PM","2024 Jun 13 09:18:00 PM","2024 Jun 13 09:18:00 PM","8.22","0"
"EJECUCION DEFINITIVA GASTOS DEL MUNICIPIO DE SINCELEJO VIGENCIA 2018","dataset","Secretaria de Hacienda","Hacienda y Crédito Público","EJECUCION DEFINITIVA GASTOS DEL MUNICIPIO DE SINCELEJO VIGENCIA 2018","published","Sincelejo","Alcaldía de Sincelejo","Territorial","Sucre","Anual","2019 May 15 07:34:00 PM","2019 May 15 08:00:00 PM","2019 Jun 06 02:04:00 PM","8.42","0"
"TRÁMITES  DE LA ALCALDÍA MUNICIPAL DE BARRANCAS","dataset","ALCALDIA MUNICIPAL DE BARRANCAS","Comercio, Industria y Turismo","Aquí encontrarás el listado de todos los trámites que ofrece la Alcaldía Municipal de Barrancas.","published","Barrancas","Alcaldía de Barrancas","Territorial","La Guajira","No aplica","2024 Apr 03 02:50:00 PM","2024 Apr 03 03:14:00 PM","2024 Apr 03 03:14:00 PM","8.34","0"
"Seguros Vehiculos","dataset","CAMARA DE COMERCIOD E SANTA ROSA DE CABAL","Comercio, Industria y Turismo","Base de datos de empresarios registrados en la Cámara de Comercio de Santa Rosa de Cabal con actividades de comercio relacionadas con venta de seguros","published","Santa Rosa de Cabal","Cámara de Comercio de Santa Rosa de Cabal","Nacional","Risaralda","No aplica","2021 Jul 12 07:52:00 PM","2021 Jul 12 07:54:00 PM","2021 Jul 12 07:54:00 PM","8.21","0"
"Ediles del Municipio de Pasto - Alcaldía de Pasto año 2020","dataset","Alcaldía de Pasto","Función pública","Ediles del Municipio de Pasto - Alcaldía de Pasto año 2020, con sus respectivos datos.","published","Pasto","Alcaldía de Pasto","Territorial","Nariño","Semestral","2020 Jan 12 09:22:00 PM","2020 Jan 12 09:38:00 PM","2020 Jan 12 09:38:00 PM","8","0"
"ESCALA SALARIAL PERSONAL ADMINISTRATIVO Y ASISTENCIAL","dataset","PLANEACION","Salud y Protección Social","Según resolución 424 se hace la descripción de la escala laboral del personal administrativo y asistencial.","published","Bucaramanga","Empresa Social del Estado Instituto de Salud de Bucaramanga - ISABU","Territorial","Santander","Anual","2019 Jan 25 04:51:00 PM","2019 Jan 25 07:20:00 PM","2021 Aug 11 07:29:00 PM","6.65","0"
"Agresiones APTR","dataset",,,,"published",,,,,,"2022 Sep 26 06:08:00 PM","2022 Oct 21 09:10:00 PM","2022 Oct 21 09:10:00 PM","7.16","0"
"ASOCIACIONES DE PRODUCTORES DEL MUNICIPIO DE RIO DE ORO, CESAR","dataset","Alcaldía Municipal Río de Oro, Cesar","Agricultura y Desarrollo Rural","El conjunto de datos contiene información básica de las asociaciones productoras del Municipio de Río de Oro, Cesar.","published","Río de Oro","Alcaldía de Río de Oro","Territorial","Cesar","Semestral","2016 Mar 12 01:53:00 AM","2016 Mar 12 01:59:00 AM","2016 Mar 12 01:53:00 AM","7.57","0"
"HOTELES Y RESTAURANTES","dataset","Alcaldía Municipal de Campo de la Cruz","Comercio, Industria y Turismo","hoteles y restaurantes de campo de la cruz atlántico","published","Campo de la Cruz","Alcaldía de Campos de la Cruz","Territorial","Atlántico","Anual","2017 Jun 27 03:07:00 PM","2017 Jun 27 03:28:00 PM","2017 Jun 27 03:07:00 PM","7.35","0"
"BASE DE DATOS ABIERTA REGISTRO MERCANTIL CAMARA DE COMERCIO DE ARMENIA Y DEL QUINDIO","dataset",,"Comercio, Industria y Turismo","Matriculas mercantiles que se encuentran registradas en la cámara de comercio de Armenia y del Quindío con el número de personal empleado, reportado cada años desde el 2006 hasta el año 2022.","published","Armenia","Cámara de Comercio de Armenia Y del Quindío","Territorial","Quindío","No aplica","2023 May 07 06:52:00 PM","2023 Oct 08 03:41:00 PM","2023 Oct 08 03:41:00 PM","8.72","0"
"Tablas_de_Retención_Documental_Notaría 68 del Círculo de Bogotá","dataset","Notaría 68 del Círculo de Bogotá","Función pública",,"published","Bogotá D.C.","Notaria 68 de Bogotá","Territorial","Bogotá D.C.","Anual","2022 Sep 29 02:03:00 PM","2022 Sep 29 02:05:00 PM","2022 Sep 29 02:05:00 PM","7.51","0"
"Activos de Información - 2023","dataset","Lotería del Tolima","Comercio, Industria y Turismo","La base de datos describe un inventario de los activos de la lotería del Tolima.","published","Ibagué","Lotería del Tolima","Territorial","Tolima","Anual","2024 May 21 09:00:00 PM","2024 May 27 10:25:00 PM","2024 May 27 10:25:00 PM","8.34","0"
"Instrumentos Ley 1712 - Esquema De Publicacion","dataset","Alcaldía Distrital de Barranquilla, Distrito Especial, Industrial y Portuario","Ordenamiento Territorial",,"published","Barranquilla","Alcaldía Distrital de Barranquilla, Distrito Especial, Industrial y Portuario","Territorial","Atlántico","Anual","2016 Dec 20 07:05:00 PM","2017 Mar 29 04:45:00 PM","2017 Mar 29 04:31:00 PM","7.62","0"
"Índice de Información Clasificada y Reservada","dataset","Notaría Única de Guateque - Boyacá","Función pública","Corresponde al inventario de la información pública generada, obtenida, adquirida o controlada por la notaría en calidad de sujeto obligado, que ha sido calificada como clasificada o reservada, de acuerdo con lo dispuesto en la Ley 1712 de 2014, el Decreto 103 de 2015, art. 39 y demás normas concordantes.","published","Guateque","Notaría Única de Guateque","Territorial","Boyacá","No aplica","2024 Aug 22 04:09:00 PM","2024 Aug 22 04:12:00 PM","2024 Aug 22 04:12:00 PM","8.47","1"
"DNP-ProyectosContratos","dataset","Departamento Nacional de Planeación","Economía y Finanzas","Este dataset contiene los contratos que se encuentran publicados en el dataset de Secop I y el dataset de Secop II publicados en el portal de datos abiertos de Mintic asociados a los proyectos de inversión del banco de proyectos del DNP","published","Bogotá D.C.","Departamento Nacional de Planeación","Nacional","Bogotá D.C.","Diaria","2022 Feb 09 09:10:00 PM","2023 Jul 18 07:37:00 PM","2024 Dec 11 05:59:00 PM","9.35","0"
"Registro de Activos de Información Aguas de Palmira 2022","dataset","Alcaldía municipal de Palmira",,"Registro de los activos que se encuentran actualmente en la empresa aguas de Palmira en la vigencia del 2022","published","Palmira","Alcaldía de Palmira","Territorial","Valle del Cauca","Anual","2022 Oct 26 08:34:00 PM","2022 Oct 26 08:57:00 PM","2022 Oct 26 08:57:00 PM","8.03","1"
"ACTIVOS DE INFORMACION ESE JOSE RUFINO VIVAS DE DAGUA","dataset",,,,"published",,,,,,"2023 Aug 30 01:18:00 PM","2023 Aug 30 01:21:00 PM","2023 Aug 30 01:21:00 PM","6.72","0"
"Poblacion En El Municipio","dataset","Alcaldia Alpujarra","Vivienda, Ciudad y Territorio","Año 2015, registro sisben","published","Alpujarra","Alcaldía Municipal de Alpujarra","Territorial","Tolima","Anual","2017 Jan 17 04:21:00 PM","2017 Jan 17 04:24:00 PM","2017 Jan 17 04:21:00 PM","7.61","0"
"Entidades Acreditadas SIIA","dataset","Unidad Administrativa Especial de Organizaciones Solidarias","Trabajo","Entidades acreditadas para impartir el curso básico de economía solidaria","published","Bogotá D.C.","Unidad Administrativa Especial de Organizaciones Solidarias","Nacional","Bogotá D.C.","Mensual","2020 Oct 08 04:41:00 PM","2020 Oct 08 04:48:00 PM","2020 Oct 08 04:48:00 PM","7.93","0"
"Quejas URIEL por Departamento","dataset","Ministerio del Interior","Resultados Electorales","Base de datos que contiene Número de Quejas allegadas a la Unidad de Recepción Inmediata para la Transparencia Electoral ""URIEL"" por departamento.","published","Bogotá D.C.","Ministerio del Interior","Nacional","Bogotá D.C.","Anual","2024 Feb 08 08:48:00 PM","2024 Feb 08 08:57:00 PM","2024 Feb 08 08:57:00 PM","8.51","0"
"SABER359 2015 RESULTADOS - ESTABLECIMIENTO COMPLETO LENGUAJE 5 GRADO","dataset","Instituto Colombiano para la Evaluación de la Educación ICFES","Educación","En esta base se encontrarán los resultados completos por establecimientos de Saber 359 2015 Área: Lenguaje Grado: 5. Los reportes completos se utilizan para mostrar las estadísticas de los establecimientos en los que por grado-área participaron seis o más estudiantes en la evaluación. Estos reportes contienen el promedio de calificación de los estudiantes, el error estándar del promedio y la desviación. Adicionalmente, en las variables de nivel de desempeño se indica el porcentaje de estudiantes participantes que se ubican en cada nivel.","published","Bogotá D.C.","Instituto Colombiano para la Evaluación de la Educación","Nacional","Bogotá D.C.","No aplica","2016 Aug 19 08:58:00 PM","2016 Aug 19 09:08:00 PM","2016 Aug 19 08:58:00 PM","7.99","0"
"Esquema de Publicación de Información","dataset","Notaría Única de Fundación - Magdalena","Función pública","Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme  al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma.
(Decreto 103 de 2015, art. 41)","published","Fundación","Notaría Única de Fundación","Territorial","Magdalena","No aplica","2024 Dec 08 04:23:00 PM","2024 Dec 08 04:26:00 PM","2024 Dec 08 04:26:00 PM","7.86","1"
"Producción y Regalías por Campo 2014","dataset","Agencia Nacional de Hidrocarburos","Minas y Energía","Periodo 2014-enero hasta 2014-diciembre. Doce (12) ciclos.

Las regalías son la contraprestación económica a favor del Estado por la explotación de recursos no renovables, como petróleo y gas, que se le otorgan a departamentos y municipios en cuyo territorio se adelantan explotaciones, y a los puertos por donde se transportan dichos recursos. Se incluyen los datos de producción de hidrocarburos y regalías, clasificados por departamento, municipio, contrato y campo durante el año 2014.","published","Bogotá D.C.","Agencia Nacional de Hidrocarburos","Nacional","Bogotá D.C.","No aplica","2020 Nov 04 08:36:00 PM","2020 Nov 04 08:40:00 PM","2021 Oct 26 08:00:00 PM","8.45","0"
"Registro de activos de informacion 2020","dataset",,"Función pública","Registro de activos de informacionb","published","Viracachá","Alcaldía de Viracachá","Territorial","Boyacá","Anual","2020 Oct 13 02:27:00 PM","2020 Oct 13 02:30:00 PM","2020 Oct 13 02:30:00 PM","6.97","0"
"Crédito Tesorería","dataset","Superintendencia Financiera de Colombia","Economía y Finanzas",,"published","Bogotá D.C.","Superintendencia Financiera de Colombia","Nacional","Bogotá D.C.","Semanal","2020 Aug 25 03:58:00 PM","2020 Aug 25 04:02:00 PM","2020 Aug 25 04:02:00 PM","7.55","0"
"INFORMACION RESGUARDOS INDIGENAS RIOSUCIO CADAS","dataset","E.S.P. Empresa Municipal de Servicios de Aseo - Emsa- Riosucio","DataJam","Información población general de los Resguardos Indígenas que estan en el territorio del municipio de Riosucio y Supia Caldas","published","Riosucio","Empresa Municipal de Servicios de Aseo ,Emsa, Ríosucio","Territorial","Caldas","No aplica","2017 Aug 02 03:41:00 PM","2017 Aug 02 03:54:00 PM","2017 Aug 02 03:41:00 PM","7.04","0"
"REGISTRO DE ACTIVOS DE LA INFORMACIÓN","dataset",,"Minas y Energía","REGISTRO DE ACTIVOS DE LA INFORMACIÓN V5 13-05-2020","published","Armenia","Empresa de Energía del Quindío S.A.","Territorial","Quindío","No aplica","2021 Oct 25 04:25:00 PM","2021 Oct 25 04:27:00 PM","2021 Oct 25 04:27:00 PM","7.11","0"
"GENERO","dataset","Alcaldía Municipal de Copacabana en Antioquia","Inclusión Social y Reconciliación","Implementar actividades que contribuyan a la formación , participación, y sensibilización de los ciudadanos frente al respeto de los derechos de dichos grupos poblacionales","published","Copacabana","Alcaldía de Copacabana","Territorial","Antioquia","Semestral","2016 Feb 09 03:38:00 PM","2016 Feb 09 03:43:00 PM","2016 Feb 09 03:38:00 PM","7.86","0"
"INVENTARIO KIOSCOS VIVE DIGITAL Y PUNTO VIVE DIGITAL","dataset","Alcaldía de Sevilla","Ciencia, Tecnología e Innovación","INVENTARIO DE LOS KIOSCOS VIVE DIGITAL Y PUNTO VIVE DIGITAL DE SEVILLA VALLE","published","Sevilla","Alcaldía de Sevilla","Territorial","Valle del Cauca","Anual","2018 Apr 23 10:16:00 PM","2018 Apr 23 10:21:00 PM","2021 Mar 11 03:35:00 PM","7.2","0"
"IGLESIAS DE SANTA MARIA","dataset","Alcaldia Santa Maria","Cultura","Información de las diferentes iglesias que se encuentran en el municipio de Santa María Boyacá","published","Santa María","Alcaldía de Santa María","Territorial","Boyacá","Trienio","2017 Jun 04 09:43:00 PM","2017 Jun 04 09:50:00 PM","2019 Feb 21 04:31:00 PM","7.44","0"
"Esquema de Publicación de Información","dataset","Notaría Única de Puerres - Nariño","Función pública","Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma.(Decreto 103 de 2015, art. 41)","published","Puerres","Notaría Única de Puerres","Territorial","Nariño","No aplica","2024 Aug 26 01:40:00 PM","2024 Aug 26 01:42:00 PM","2024 Aug 26 01:42:00 PM","7.74","0"
"ESQUEMA DE PUBLICACIÓN DE INFORMACIÓN","dataset","Alcaldia de Samacá","Función pública","Se relaciona el esquema de publicación de información de la Alcaldia Municpal de Samacá.","published","Samacá","Alcaldía de Samacá","Territorial","Boyacá","Anual","2024 Jul 02 03:01:00 PM","2024 Jul 02 03:10:00 PM","2024 Jul 03 08:11:00 PM","8.27","0"
"Activos de Información CMB","dataset","Servicios TI","Organismos de Control","Activos de Información CMB","published","Bucaramanga","Contraloría Municipal de Bucaramanga","Territorial","Santander","No aplica","2019 Aug 29 06:53:00 PM","2019 Aug 30 03:25:00 AM","2019 Aug 30 03:25:00 AM","6.82","0"
"BASE DE DATOS DE VENTA AUTOMOVILES CHOCO","dataset","CAMARA DE COMERCIO DEL CHOCÓ","Comercio, Industria y Turismo","BASE DE DATOS DE ESTABLECIMENTOS DEDICADO A LA VENTA AUTOMOVILES EN EL CHOCÓ","published","Quibdó","Cámara de Comercio del Chocó","Territorial","Chocó","Anual","2021 Jul 14 08:39:00 PM","2021 Jul 23 04:42:00 PM","2021 Jul 23 04:42:00 PM","8.37","0"
"Telefonía fija trafico voz TPBC","dataset","Ministerio de Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación","Información del servicio básico de telecomunicaciones cuyo objeto es la transmisión conmutada de voz o a través de la red telefónica de circuitos físicos con acceso generalizado al público. Datos correspondientes al tráfico en minutos para los servicios de telefonía Local, Local Extendida, Larga Distancia Nacional, Larga Distancia Internacional Saliente, Larga Distancia Internacional Entrante. Los datos se presentan discriminados por los diferentes proveedores de redes y servicios que prestan el servicio. Periodo publicado desde 2017 2T","published","Bogotá D.C.","Ministerio de Tecnologías de la Información y las Comunicaciones","Nacional","Bogotá D.C.","Trimestral","2018 May 31 09:23:00 PM","2020 Aug 09 07:54:00 PM","2024 Feb 23 09:36:00 PM","9.18","0"
"Estudiantes que Cruzaron en el SIMAT","dataset","http://www.quebradanegra-cundinamarca.gov.co/tema/datos-abiertos","Educación","De acuerdo con la base de datos éstos menores se encuentran a paz y salvo con relación a la documentación requerida por el programa, y no les es necesario llevar más documentos a la Alcaldía Municipal de Quebradanegra.","published","Quebradanegra","Alcaldía de Quebradanegra","Territorial","Cundinamarca","Anual","2019 May 07 03:00:00 AM","2019 May 07 03:08:00 AM","2019 May 07 03:08:00 AM","7.91","0"
"Consultas realizadas año 2021","dataset",,"Salud y Protección Social",,"published","Tuluá","Hospital Tomás Uribe Uribe, Tuluá","Territorial","Valle del Cauca","Anual","2022 Aug 22 11:23:00 PM","2022 Aug 22 11:31:00 PM","2022 Aug 22 11:31:00 PM","7.74","0"
"Autenticaciones En Colombia","dataset","Notarias del país","Justicia y Derecho","La Autenticación es un servicio mediante el cual el notario puede dar testimonio escrito que la firma puesta en un documento, corresponde a la de la persona que la haya registrado ante él, previa confrontación de las dos.
También podrá dar testimonio que las firmas fueron puestas en su presencia estableciendo la identidad de los firmantes.    
 
 Decreto 960 Capítulo VI Artículos, 73 al 77","published","Bogotá D.C.","Superintendencia de Notariado y Registro","Nacional","Bogotá D.C.","Trimestral","2017 Nov 29 07:27:00 PM","2022 Apr 22 03:28:00 PM","2024 Aug 13 11:24:00 PM","9.49","1"
"Registro de Activos de Información","dataset","Notaría Única de El Banco","Función pública","Registro de Activos de Información","published","El Banco","Notaría Única El Banco","Territorial","Magdalena","Anual","2024 Jul 31 08:45:00 PM","2024 Dec 08 01:52:00 PM","2024 Dec 08 01:52:00 PM","8.06","0"
"Esquema de publicacion de informacion","dataset","Notaria Quinta del Circulo de Pereira","Función pública",,"published","Pereira","Notaría Quinta del Círculo de Pereira","Territorial","Risaralda","Anual","2024 Jul 25 10:16:00 PM","2024 Jul 25 10:20:00 PM","2024 Jul 25 10:20:00 PM","8.2","0"
"Seguimiento a la Ejecución Presupuestal del Sector Justicia","dataset","Ministerio de Justicia y del Derecho","Justicia y Derecho","Información del avance a la ejecución presupuestal del sector justicia reportado en el Sistema Integrado de Información Financiera - SIIF Nación  de forma trimestral para la vigencia 2024 (Septiembrr).","published","Bogotá D.C.","Ministerio de Justicia y del Derecho","Nacional","Bogotá D.C.","Trimestral","2023 May 30 07:23:00 PM","2023 May 30 07:34:00 PM","2024 Jun 11 09:09:00 PM","9.55","1"
"Esquema de Publicación de la Información Municipio de Arauca","dataset","Alcaldía de Arauca","Función pública","Esquema de Publicación de la Información Municipio de Arauca","published","Arauca","Alcaldía de Arauca","Territorial","Arauca","Anual","2020 Oct 21 04:45:00 PM","2020 Oct 21 05:09:00 PM","2020 Oct 21 05:09:00 PM","7.26","0"
"Diagnósticos","dataset","E.S.E. HOSPITAL SAN JOSÉ","Salud y Protección Social","Diagnósticos considerados de interés en salud pública y que son reportados al Ministerio de Salud para efectos de que se haga vigilancia sobre ese tipo de diagnósticos.","published","Belén de Umbría","Hospital San José, Belén de Umbría","Territorial","Risaralda","Semestral","2023 Sep 22 04:19:00 PM","2023 Sep 25 04:04:00 PM","2023 Sep 25 04:03:00 PM","9.16","1"
"Registro de Activos de Información","dataset","Notaría Única de Labranza Grande - Boyacá","Función pública","Corresponde al inventario de la información pública que la notaría como sujeto obligado genere, obtenga, adquiera, transforme o controle en su calidad de tal, de acuerdo con lo dispuesto en la Ley 1712 de 2014, Decreto 103 de 2015, art. 37 y demás normas concordantes.","published","Labranzagrande","Notaría Única de Labranzagrande","Territorial","Boyacá","No aplica","2024 Aug 13 05:29:00 PM","2024 Aug 13 05:31:00 PM","2024 Aug 13 05:31:00 PM","8.11","0"
